Word,Tags
Dedektif,AD-NOUN
Dedem,AD-NOUN
Dediğim,FİİL-VERB
Defalarca,ZARF-ADV
Deliler,AD-NOUN
Demir,AD-NOUN
Deneyi,İSİM-NOUN
Deniz,AD-NOUN
Denize,AD-NOUN
Derin,SIFAT-ADJECTIVE
Ders,AD-NOUN
Dersi,İSİM-NOUN
Derste,AD-NOUN
Devlet,AD-NOUN
Devlete,AD-NOUN
Devleti,AD-NOUN
Devletin,AD-NOUN
Devletinin,AD-NOUN
Devletçe,AD-NOUN
Devletçi,SIFAT-ADJECTIVE
Devrimcidir,SIFAT-ADJECTIVE
Değişiklikler,AD-NOUN
Dikkatli,SIFAT-ADJECTIVE
Dil,AD-NOUN
Din,SIFAT-ADJECTIVE
Dinleyiciler,AD-NOUN
Dinozorlar,AD-NOUN
Diplomatlar,AD-NOUN
Doksan,SAYI-NUM
Doktor,AD-NOUN
Dokuz,SAYI-NUM
Dokuzar,SAYI-NUM
Dolar,AD-NOUN
Domates,AD-NOUN
Dostlar,AD-NOUN
Doyana,FİİL-VERB
Doğa,AD-NOUN
Duvar,AD-NOUN
Duyduklarım,AD-NOUN
Dörder,SAYI-NUM
Dört,SAYI-NUM
Dünya,AD-NOUN
Dünyalar,AD-NOUN
Düğmesi,AD-NOUN
Düşman,AD-NOUN
Efsaneye,AD-NOUN
Egemenlik,AD-NOUN
Ekip,AD-NOUN
Ekmek,AD-NOUN
Ekonomistler,AD-NOUN
Elbisesi,AD-NOUN
Elektrik,AD-NOUN
Eleştirmen,AD-NOUN
Eli,AD-NOUN
Elimden,AD-NOUN
Elinden,AD-NOUN
Elleri,AD-NOUN
Elli,SAYI-NUM
Elma,AD-NOUN
Elmas,AD-NOUN
Emirleri,AD-NOUN
Eski,SIFAT-ADJECTIVE
Eskiden,BELİRTEÇ-ADVERB
Ev,AD-NOUN
Evden,AD-NOUN
Eve,AD-NOUN
Everest,AD-NOUN
Evin,AD-NOUN
Evrakı,İSİM-NOUN
Evren,AD-NOUN
Fakat,BAĞLAÇ-CONJ
Falcı,AD-NOUN
Fidan,AD-NOUN
Fikrine,AD-NOUN
Fikrini,AD-NOUN
Film,AD-NOUN
Filmi,AD-NOUN
Fiyatlar,AD-NOUN
Fiyatta,AD-NOUN
Formu,İSİM-NOUN
Forvet,AD-NOUN
Fotoğraf,AD-NOUN
Fırtına,AD-NOUN
Fırtınadan,AD-NOUN
Galerici,AD-NOUN
Garson,AD-NOUN
Gazeteci,AD-NOUN
Geceden,AD-NOUN
Gecenin,AD-NOUN
Gelin,AD-NOUN
Gelişmeleri,AD-NOUN
Gemi,AD-NOUN
Genel,SIFAT-ADJECTIVE
General,AD-NOUN
Genç,SIFAT-ADJECTIVE
Gençler,AD-NOUN
Gerektiği,SIFAT-ADJECTIVE
Geri,BELİRTEÇ-ADVERB
Gerçek,AD-NOUN
Gezgin,AD-NOUN
Geçmişi,AD-NOUN
Gidebildiği,SIFAT-ADJECTIVE
Girişimci,AD-NOUN
Gitmek,FİİL-VERB
Gittiği,SIFAT-ADJECTIVE
Gök,AD-NOUN
Gökbilimci,AD-NOUN
Göl,AD-NOUN
Gömleği,AD-NOUN
Gönüllüler,AD-NOUN
Gördüklerim,AD-NOUN
Gördüğüm,SIFAT-ADJECTIVE
Görevli,AD-NOUN
Görüntü,AD-NOUN
Göz,AD-NOUN
Gözden,AD-NOUN
Gözleri,AD-NOUN
Gözlerini,AD-NOUN
Gözlerinin,AD-NOUN
Gözü,AD-NOUN
Gücünün,AD-NOUN
Gümüş,AD-NOUN
Gün,AD-NOUN
Güneş,AD-NOUN
Günler,AD-NOUN
Gürültüden,AD-NOUN
Güvenlik,AD-NOUN
Güvenliğe,AD-NOUN
Haber,AD-NOUN
Haberden,AD-NOUN
Haberi,AD-NOUN
Haberleşmenin,AD-NOUN
Halk,AD-NOUN
Halkçı,SIFAT-ADJECTIVE
Hamal,AD-NOUN
Hamur,AD-NOUN
Harb,AD-NOUN
Hasta,AD-NOUN
Hastalığından,AD-NOUN
Hava,AD-NOUN
Havluyla,AD-NOUN
Hayal,AD-NOUN
Hayat,AD-NOUN
Hayatını,AD-NOUN
Hayretler,AD-NOUN
Hedefine,AD-NOUN
Hemşire,AD-NOUN
Her,BELİRLEYİCİ-DET
Herkes,ADIL-PRONOUN
Hesaplarında,AD-NOUN
Heyecandan,AD-NOUN
Heyet,AD-NOUN
Heyetler,AD-NOUN
Heykeltıraş,AD-NOUN
Hisse,AD-NOUN
Hizmetli,AD-NOUN
Hiçbir,BELİRLEYİCİ-DET
Hâkim,AD-NOUN
Hükûmeti,AD-NOUN
Hükûmetin,AD-NOUN
Hükümet,AD-NOUN
Hükümetin,AD-NOUN
Hürriyet,AD-NOUN
Hırsız,AD-NOUN
Hızla,BELİRTEÇ-ADVERB
Jüri,AD-NOUN
Kaderini,AD-NOUN
Kadın,AD-NOUN
Kafile,AD-NOUN
Kalabalık,AD-NOUN
Kalbi,AD-NOUN
Kampçılar,AD-NOUN
Kamu,AD-NOUN|SIFAT-ADJECTIVE
Kamyon,AD-NOUN
Kanepede,AD-NOUN
Kanun,AD-NOUN
Kanuna,AD-NOUN
Kanunda,AD-NOUN
Kanunlar,AD-NOUN
Kanunu,AD-NOUN
Kanunun,AD-NOUN
Kapalı,SIFAT-ADJECTIVE
Kaptan,AD-NOUN
Kapı,AD-NOUN
Kapıyı,İSİM-NOUN
Karanlıktan,AD-NOUN
Kardeşim,AD-NOUN
Kardeşine,AD-NOUN
Kardeşini,AD-NOUN
Kardeşiyle,AD-NOUN
Kardeşler,AD-NOUN
Karınca,AD-NOUN
Kasiyer,AD-NOUN
Kası,AD-NOUN
Kasım,AD-NOUN
Kasımdan,AD-NOUN
Kavun,AD-NOUN
Kaya,AD-NOUN
Kayıp,SIFAT-ADJECTIVE
Kazanan,AD-NOUN
Kazananlar,AD-NOUN
Kazandığını,FİİL-VERB
Kedi,AD-NOUN
Kendi,ADIL-PRONOUN
Kervan,AD-NOUN
Kesinhesap,AD-NOUN
Kimse,ADIL-PRONOUN
Kimseye,ADIL-PRONOUN
Kimyager,AD-NOUN
Kiracı,AD-NOUN
Kitaplar,AD-NOUN
Kişi,AD-NOUN|SIFAT-ADJECTIVE
Kodu,İSİM-NOUN
Komedyen,AD-NOUN
Komiser,AD-NOUN
Komutan,AD-NOUN
Komşu,AD-NOUN
Komşular,AD-NOUN
Komşum,AD-NOUN
Konuta,AD-NOUN
Konuşmacı,AD-NOUN
Konuşması,AD-NOUN
Koro,AD-NOUN
Kristal,AD-NOUN
Kriz,AD-NOUN
Kukla,AD-NOUN
Kullanıcı,AD-NOUN
Kurbağa,AD-NOUN
Kurt,AD-NOUN
Kuru,SIFAT-ADJECTIVE
Kurulu,AD-NOUN
Kurulunun,AD-NOUN
Kurulunundur,AD-NOUN
Kurulu’nu,AD-NOUN
Kurye,AD-NOUN
Kurşunlar,AD-NOUN
Kuş,AD-NOUN
Kâşif,AD-NOUN
Kömür,AD-NOUN
Köpek,AD-NOUN
Köylüler,AD-NOUN
Küsen,SIFAT-ADJECTIVE
Kütüphaneci,AD-NOUN
Küçük,SIFAT-ADJECTIVE
Kırk,SAYI-NUM
Kıyafet,AD-NOUN
Kışın,BELİRTEÇ-ADVERB
Lamba,AD-NOUN
Layik,SIFAT-ADJECTIVE
Leylekler,AD-NOUN
Lider,AD-NOUN
Liderler,AD-NOUN
Lisa,AD-NOUN
Mahkeme,AD-NOUN
Mahkemelerde,AD-NOUN
Mahkemelerin,AD-NOUN
Maili,İSİM-NOUN
Masajdan,AD-NOUN
Meclis,AD-NOUN
Meclise,AD-NOUN
Meclisi,AD-NOUN
Meclisidir,FİİL-VERB
Meclisin,AD-NOUN
Meclisince,AD-NOUN
Meclisinde,AD-NOUN
Meclisine,AD-NOUN
Meclisinin,AD-NOUN
Meclisinindir,AD-NOUN
Mektup,AD-NOUN
Memur,AD-NOUN
Meraklı,SIFAT-ADJECTIVE
Mesajı,İSİM-NOUN
Mevzu,AD-NOUN
Meyveler,AD-NOUN
Mezunlar,AD-NOUN
Millet,AD-NOUN
Milleti,AD-NOUN
Milletindir,AD-NOUN
Milletinindir,AD-NOUN
Milletvekili,AD-NOUN
Milletvekilleri,AD-NOUN
Milletvekillerinin,AD-NOUN
Milletvekilliği,AD-NOUN
Milliyetçi,SIFAT-ADJECTIVE
Mimar,AD-NOUN
Mirasçı,AD-NOUN
Misafir,AD-NOUN
Misafirler,AD-NOUN
Mona,AD-NOUN
Muhtar,AD-NOUN
Müdür,AD-NOUN
Mühendis,AD-NOUN
Müteahhit,AD-NOUN
Müze,AD-NOUN
Müzikseverler,AD-NOUN
Müzikten,AD-NOUN
Müşteri,AD-NOUN
Müşteriler,AD-NOUN
NOKTA,NOKTALAMA-PUNCTUATION
Ne,SORU-QUESTION
Nice,SAYI-NUM
Nihayet,BELİRTEÇ-ADVERB
Notu,İSİM-NOUN
Nöbetçi,AD-NOUN
O,ADIL-PRONOUN|BELİRLEYİCİ-DET
Oda,AD-NOUN
Odadan,AD-NOUN
Odayı,AD-NOUN
Oduncu,AD-NOUN
Ok,AD-NOUN
Okuldan,AD-NOUN
Okyanus,AD-NOUN
Olanlara,AD-NOUN
Olanları,AD-NOUN
Olay,AD-NOUN
Olaylar,AD-NOUN
Olağanüstü,SIFAT-ADJECTIVE
On,SAYI-NUM
Ona,ADIL-PRONOUN|ZAMİR-PRON
Onar,SAYI-NUM
Onlar,ADIL-PRONOUN
Onlarca,SAYI-NUM
Onu,ADIL-PRONOUN|ZAMİR-PRON
Onun,ADIL-PRONOUN
Onunla,ADIL-PRONOUN
Ordu,AD-NOUN
Ortalık,AD-NOUN
Otelde,AD-NOUN
Otele,AD-NOUN
Otuz,SAYI-NUM|SIFAT-ADJECTIVE
Oyalandı,FİİL-VERB
Oyuncu,AD-NOUN
Oyunun,AD-NOUN
Palyaço,AD-NOUN
Pamuk,AD-NOUN
Paramedik,AD-NOUN
Paramın,AD-NOUN
Parası,AD-NOUN
Parkta,AD-NOUN
Parmağım,AD-NOUN
Partide,AD-NOUN
Patron,AD-NOUN
Pazarlamacı,AD-NOUN
Pilot,AD-NOUN
Planlarımıza,AD-NOUN
Planı,İSİM-NOUN
Polis,AD-NOUN
Politikacı,AD-NOUN
Pompacı,AD-NOUN
Postacı,AD-NOUN
Postalara,AD-NOUN
Profesör,AD-NOUN
Proje,AD-NOUN
Projeyi,İSİM-NOUN
Psikolog,AD-NOUN
Rakibi,AD-NOUN
Rakip,AD-NOUN
Raporu,AD-NOUN|İSİM-NOUN
Rehber,AD-NOUN
Resim,AD-NOUN
Resmî,SIFAT-ADJECTIVE
Ressam,AD-NOUN
Ruh,AD-NOUN
Ruhu,AD-NOUN
Rüzgar,AD-NOUN
Rüzgâr,AD-NOUN
Sabaha,AD-NOUN
Sabahatan,BELİRTEÇ-ADVERB
Sabrı,AD-NOUN
Sabrım,AD-NOUN
Sabırla,AD-NOUN
Sadece,BELİRTEÇ-ADVERB
Sahilde,AD-NOUN
Sahile,AD-NOUN
Salıncak,AD-NOUN
Sana,ADIL-PRONOUN|ZAMİR-PRON
Sanatseverler,AD-NOUN
Sanatçı,AD-NOUN
Sandalyeye,AD-NOUN
Sanki,BELİRTEÇ-ADVERB
Sarhoş,SIFAT-ADJECTIVE
Satıcı,AD-NOUN
Savaş,AD-NOUN
Savcı,AD-NOUN
Sayfa,AD-NOUN
Sayısızca,ZARF-ADV
Sayıştay,AD-NOUN
Saçları,AD-NOUN
Seferberlik,AD-NOUN
Seferler,AD-NOUN
Sekiz,SAYI-NUM
Sekizer,SAYI-NUM
Sekreter,AD-NOUN
Seksen,SAYI-NUM
Sel,AD-NOUN
Sen,ADIL-PRONOUN
Senden,ADIL-PRONOUN
Seni,ADIL-PRONOUN|ZAMİR-PRON
Senin,ADIL-PRONOUN
Sesi,AD-NOUN
Sessizlik,AD-NOUN
Sevgisi,AD-NOUN
Seyirci,AD-NOUN
Seyirciler,AD-NOUN
Seçim,AD-NOUN
Sihirbaz,AD-NOUN
Simit,AD-NOUN
Sinek,AD-NOUN
Sistem,AD-NOUN
Siyasi,SIFAT-ADJECTIVE
Sokak,AD-NOUN
Son,SIFAT-ADJECTIVE
Sonsuza,BELİRTEÇ-ADVERB
Sonsuzluğa,AD-NOUN
Sonucu,AD-NOUN
Sonuçlar,AD-NOUN
Soru,AD-NOUN
Soruları,AD-NOUN
Soruyu,İSİM-NOUN
Soğuktan,AD-NOUN
Sporcu,AD-NOUN
Su,AD-NOUN
Sunucu,AD-NOUN
Sunumu,İSİM-NOUN
Suçlu,AD-NOUN
Söylediklerine,AD-NOUN
Söylediği,FİİL-VERB
Söylemeye,FİİL-VERB
Söylemi,İSİM-NOUN
Sözleri,AD-NOUN
Sözleriyle,AD-NOUN
Sözü,İSİM-NOUN
Süresi,AD-NOUN
Sürücü,AD-NOUN
Süt,AD-NOUN
Sıcakta,AD-NOUN
Sıkıyönetim,AD-NOUN
Sınav,AD-NOUN
Sınavdan,AD-NOUN
Sınavı,AD-NOUN
Sınavın,AD-NOUN
Sınırı,AD-NOUN
Sırrını,AD-NOUN
Sırtı,AD-NOUN
Sırtına,AD-NOUN
Tabii,SIFAT-ADJECTIVE
Tahmin,AD-NOUN
Takım,AD-NOUN
Takımımız,AD-NOUN
Tamirci,AD-NOUN
Tanık,AD-NOUN
Taraflar,AD-NOUN
Taraftar,AD-NOUN
Taraftarlar,AD-NOUN
Tarihin,AD-NOUN
Tartışma,AD-NOUN
Tasarımcı,AD-NOUN
Taş,AD-NOUN
Tehlikeye,AD-NOUN
Teklifi,AD-NOUN
Teknisyen,AD-NOUN
Teknoloji,AD-NOUN
Temel,SIFAT-ADJECTIVE
Temizlikçi,AD-NOUN
Tilki,AD-NOUN
Tiyatro,AD-NOUN
Toplantıda,AD-NOUN
Toplantıya,AD-NOUN
Toplantıyı,İSİM-NOUN
Topu,İSİM-NOUN
Trafik,AD-NOUN
Tren,AD-NOUN
Tuncay,AD-NOUN
Turist,AD-NOUN
Tüm,BELİRLEYİCİ-DET
Türk,AD-NOUN|SIFAT-ADJECTIVE
Türkiye,AD-NOUN
Türkiye’de,AD-NOUN
Türkler,AD-NOUN
Türklerin,AD-NOUN
Türklük,AD-NOUN
Türkçedir,AD-NOUN
Türkçe’dir,AD-NOUN
Türkün,AD-NOUN
Türk’ün,AD-NOUN
Tüzükler,AD-NOUN
Tüzüklerin,AD-NOUN
Tıpkı,BELİRTEÇ-ADVERB
Tırtıl,AD-NOUN
Umut,AD-NOUN
Usta,AD-NOUN
Uykusuz,SIFAT-ADJECTIVE
Uyumadan,FİİL-VERB
Uzun,BELİRTEÇ-ADVERB
Uçak,AD-NOUN
Uçurumun,AD-NOUN
Vatan,AD-NOUN
Vatandaş,AD-NOUN
Vazo,AD-NOUN
Vergi,AD-NOUN
Vergiler,AD-NOUN
Verilen,SIFAT-ADJECTIVE
Veteriner,AD-NOUN
Vücudu,AD-NOUN
VİRGÜL,NOKTALAMA-PUNCTUATION
Yahut,BAĞLAÇ-CONJ
Yalandan,AD-NOUN
Yangın,AD-NOUN
Yapraklar,AD-NOUN
Yaptıkları,FİİL-VERB
Yaptıklarından,FİİL-VERB
Yaptığı,SIFAT-ADJECTIVE
Yaralı,AD-NOUN
Yarasa,AD-NOUN
Yarası,AD-NOUN
Yargı,AD-NOUN
Yargıtay,AD-NOUN
Yargıçlar,AD-NOUN
Yargıçların,AD-NOUN
Yarım,SIFAT-ADJECTIVE
Yarının,AD-NOUN
Yasama,AD-NOUN
Yatağına,AD-NOUN
Yatırımcı,AD-NOUN
Yazar,AD-NOUN
Yağmur,AD-NOUN
Yağmurda,AD-NOUN
Yağmurun,AD-NOUN
Yaşlı,SIFAT-ADJECTIVE
Yedi,SAYI-NUM
Yedişer,SAYI-NUM
Yemek,AD-NOUN
Yemekten,AD-NOUN
Yeni,SIFAT-ADJECTIVE
Yeniden,BELİRTEÇ-ADVERB
Yerden,AD-NOUN
Yere,AD-NOUN
Yetmiş,SAYI-NUM
Yirmi,SAYI-NUM
Yol,AD-NOUN
Yola,AD-NOUN
Yolcu,AD-NOUN
Yolculuğa,AD-NOUN
Yolda,AD-NOUN
Yoluna,AD-NOUN
Yorgunluğundan,AD-NOUN
Yoğun,SIFAT-ADJECTIVE
Yurt,AD-NOUN
Yönetici,AD-NOUN
Yücedivan,AD-NOUN
Yücedivanın,AD-NOUN
Yük,AD-NOUN
Yürütme,AD-NOUN
Yüz,SAYI-NUM
Yüzde,AD-NOUN
Yüzlerce,SAYI-NUM
Yüzü,AD-NOUN
Yılan,AD-NOUN
Yıldız,AD-NOUN
Yıldızlar,AD-NOUN
Yıldızlara,AD-NOUN
Yıllar,AD-NOUN
Yıllardan,AD-NOUN
Zaman,AD-NOUN
Zehir,AD-NOUN
Zeki,SIFAT-ADJECTIVE
Zengin,SIFAT-ADJECTIVE
Zeynep,AD-NOUN
Zil,AD-NOUN
Ziyaretçiler,AD-NOUN
Zorluklara,AD-NOUN
acele,AD-NOUN
acil,SIFAT-ADJECTIVE
acı,SIFAT-ADJECTIVE
acıkmış,SIFAT-ADJECTIVE
acıkmıştı,FİİL-VERB
acımasız,SIFAT-ADJECTIVE
acımasızca,BELİRTEÇ-ADVERB
acıyı,AD-NOUN
adaletli,SIFAT-ADJECTIVE
adam,AD-NOUN
adamı,AD-NOUN
adeta,BELİRTEÇ-ADVERB
adil,SIFAT-ADJECTIVE
adresi,AD-NOUN
adâlet,AD-NOUN
adçekme,AD-NOUN
adçekmeye,AD-NOUN
adım,AD-NOUN|BELİRTEÇ-ADVERB
adımlarla,AD-NOUN
adımlarını,AD-NOUN
adına,AD-NOUN|İLGEÇ-PREPOS
adını,AD-NOUN|İSİM-NOUN
adıyla,AD-NOUN
affedilmeyecek,FİİL-VERB
affetmedi,FİİL-VERB
affetmedi.,FİİL-VERB
ahlaki,SIFAT-ADJECTIVE
ahlâka,AD-NOUN
ahlâkın,AD-NOUN
ahşap,AD-NOUN
aile,AD-NOUN
ailem,AD-NOUN
ailesi,AD-NOUN
ailesine,AD-NOUN
ailesini,AD-NOUN
aileye,AD-NOUN
akademik,SIFAT-ADJECTIVE
akan,SIFAT-ADJECTIVE
aklımda,AD-NOUN
aklına,AD-NOUN
aklında,AD-NOUN
aklından,AD-NOUN
aklını,AD-NOUN
aksatmadan,FİİL-VERB
aktardı,FİİL-VERB
aktardı.,FİİL-VERB
aktif,SIFAT-ADJECTIVE
akıllı,SIFAT-ADJECTIVE
akıp,FİİL-VERB
akıyordu,FİİL-VERB
akşam,AD-NOUN
akşama,AD-NOUN|BELİRTEÇ-ADVERB
akşamı,AD-NOUN
alabildiği,SIFAT-ADJECTIVE
alabilirsin.,FİİL-VERB
alacak,FİİL-VERB|SIFAT-ADJECTIVE
alakonamaz,FİİL-VERB
alamadı.,FİİL-VERB
alamadık.,FİİL-VERB
alamayacağımı,FİİL-VERB
alamazlar,FİİL-VERB
alan,SIFAT-ADJECTIVE
alana,FİİL-VERB
alanları,AD-NOUN
alanı,AD-NOUN
alanından,AD-NOUN
aldı,FİİL-VERB
aldı.,FİİL-VERB
aldık,FİİL-VERB
aldım,FİİL-VERB
aldım.,FİİL-VERB
aldın,FİİL-VERB
aldığı,FİİL-VERB
alevlendi,FİİL-VERB
alfabeyi,AD-NOUN
alkışı,AD-NOUN
almıştı.,FİİL-VERB
alnına,AD-NOUN
alternatif,AD-NOUN|SIFAT-ADJECTIVE
altı,SAYI-NUM|SIFAT-ADJECTIVE
altın,AD-NOUN
altına,AD-NOUN
altında,AD-NOUN|İLGEÇ-PREPOS
altından,AD-NOUN
alçak,SIFAT-ADJECTIVE
alçakgönüllü,SIFAT-ADJECTIVE
alınabilir,FİİL-VERB
alınacak,SIFAT-ADJECTIVE
alınagelmekte,FİİL-VERB
alınamaz,FİİL-VERB
alınca,FİİL-VERB
alınmaları,FİİL-VERB
alınması,FİİL-VERB
alınır,FİİL-VERB
alıp,FİİL-VERB
alır,FİİL-VERB
alır.,FİİL-VERB
alışkanlığı,AD-NOUN
alışveriş,AD-NOUN
ama,BAĞLAÇ-CONJ
amacı,AD-NOUN
amansız,SIFAT-ADJECTIVE
amatör,SIFAT-ADJECTIVE
amaçlarla,AD-NOUN
amaçlarıyla,AD-NOUN
ameliyat,AD-NOUN
ameliyatı,AD-NOUN
an,AD-NOUN|FİİL-VERB
an.,AD-NOUN
anahtar,AD-NOUN
anahtarı,AD-NOUN
anahtarını,AD-NOUN
analitik,SIFAT-ADJECTIVE
analiz,AD-NOUN
anbean,BELİRTEÇ-ADVERB
ancak,BAĞLAÇ-CONJ|BELİRTEÇ-ADVERB
and,AD-NOUN
anda,AD-NOUN
andı,FİİL-VERB
andım,FİİL-VERB
angarya,AD-NOUN
aniden,BELİRTEÇ-ADVERB
anka,AD-NOUN
anladı,FİİL-VERB
anladı.,FİİL-VERB
anladılar,FİİL-VERB
anladılar.,FİİL-VERB
anladım,FİİL-VERB
anladım.,FİİL-VERB
anladığı,FİİL-VERB
anladığını,FİİL-VERB
anlamadı,FİİL-VERB
anlamadı.,FİİL-VERB
anlamlı,SIFAT-ADJECTIVE
anlamsız,SIFAT-ADJECTIVE
anlamı,AD-NOUN
anlamını,AD-NOUN
anlamıyorum,FİİL-VERB
anlamıyorum.,FİİL-VERB
anlamış,FİİL-VERB
anlar,AD-NOUN
anlar.,AD-NOUN
anları,AD-NOUN
anlatacak,FİİL-VERB
anlatacak.,FİİL-VERB
anlatmadı,FİİL-VERB
anlatmayı,İSİM-NOUN
anlattı,FİİL-VERB
anlattı.,FİİL-VERB
anlattı?,FİİL-VERB
anlattıklarına,FİİL-VERB
anlattıklarını,FİİL-VERB
anlattılar,FİİL-VERB
